Blueberry Danish,,,,,,,
Lemon Cake,Truffle Cake,Green Tea,,,,,
Single Espresso,,,,,,,
Berry Tart,Pecan Tart,Almond Croissant,Chocolate Coffee,,,,
Berry Tart,Lemon Tart,Lemon Cookie,Walnut Cookie,Cheese Croissant,Chocolate Croissant,Vanilla Frappuccino,Single Espresso
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Chocolate Cake,Casino Cake,Apricot Croissant,Almond Twist,Almond Bear Claw,Orange Juice,,
Coffee Eclair,Apple Pie,Chocolate Meringue,,,,,
Opera Cake,Cheese Croissant,Orange Juice,,,,,
Truffle Cake,Gongolais Cookie,Single Espresso,,,,,
Walnut Cookie,Orange Juice,,,,,,
Truffle Cake,Vanilla Eclair,Gongolais Cookie,Apricot Croissant,Hot Coffee,,,
Cheese Croissant,Chocolate Coffee,,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Chocolate Croissant,Green Tea,,,,,,
Napoleon Cake,Blackberry Tart,Hot Coffee,,,,,
Casino Cake,Chocolate Eclair,Chocolate Meringue,Walnut Cookie,,,,
Cherry Tart,Green Tea,Bottled Water,,,,,
Truffle Cake,Coffee Eclair,Apple Pie,Marzipan Cookie,Almond Twist,Hot Coffee,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Vanilla Eclair,Cherry Tart,Apricot Danish,Cherry Soda,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Pecan Tart,Tuile Cookie,Chocolate Croissant,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Chocolate Eclair,Orange Juice,,,,,,
Strawberry Cake,Napoleon Cake,Almond Tart,,,,,
Coffee Eclair,Blueberry Tart,Almond Croissant,Cheese Croissant,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Blueberry Tart,Gongolais Cookie,,,,,,
Gongolais Cookie,Almond Twist,Bottled Water,,,,,
Orange Juice,,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Chocolate Cake,Chocolate Tart,Walnut Cookie,,,,,
Truffle Cake,Apricot Tart,Ganache Cookie,Gongolais Cookie,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Almond Tart,Walnut Cookie,,,,,,
Strawberry Cake,Blueberry Tart,Chocolate Meringue,Almond Croissant,Raspberry Lemonade,Green Tea,Bottled Water,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Coffee Eclair,Blackberry Tart,Pecan Tart,Almond Twist,Cherry Soda,Single Espresso,,
Chocolate Tart,Bottled Water,,,,,,
Truffle Cake,Chocolate Tart,Gongolais Cookie,,,,,
Strawberry Cake,Truffle Cake,Apricot Tart,Chocolate Meringue,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Almond Tart,Ganache Cookie,Vanilla Meringue,Apple Danish,,,,
Blackberry Tart,Gongolais Cookie,Marzipan Cookie,Almond Croissant,,,,
Lemon Tart,Tuile Cookie,,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Apple Tart,Apple Croissant,Cheese Croissant,Apple Danish,Single Espresso,,,
Berry Tart,Blackberry Tart,Walnut Cookie,,,,,
Orange Juice,,,,,,,
Truffle Cake,Gongolais Cookie,Bottled Water,,,,,
Apple Tart,Apple Croissant,Apple Danish,,,,,
Coffee Eclair,Apple Pie,Lemon Tart,Almond Twist,Hot Coffee,Vanilla Frappuccino,,
Lemon Cake,Strawberry Cake,Blackberry Tart,Lemon Tart,,,,
Lemon Cake,Coffee Eclair,Blackberry Tart,Single Espresso,,,,
Lemon Tart,Chocolate Croissant,,,,,,
Opera Cake,Cherry Tart,Chocolate Meringue,Chocolate Coffee,,,,
Cheese Croissant,Vanilla Frappuccino,,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Vanilla Eclair,Apricot Croissant,Almond Bear Claw,,,,,
Apricot Tart,Blackberry Tart,Almond Twist,,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Strawberry Cake,Chocolate Eclair,Napoleon Cake,Apricot Danish,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Chocolate Meringue,Almond Croissant,Hot Coffee,,,,,
Chocolate Eclair,Vanilla Eclair,,,,,,
Walnut Cookie,Almond Twist,Almond Bear Claw,Orange Juice,Vanilla Frappuccino,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Pecan Tart,Green Tea,,,,,,
Napoleon Cake,Chocolate Croissant,Chocolate Coffee,,,,,
Strawberry Cake,Chocolate Coffee,Cherry Soda,,,,,
Casino Cake,Cherry Tart,Gongolais Cookie,Apricot Danish,,,,
Blackberry Tart,Orange Juice,,,,,,
Chocolate Cake,Casino Cake,Coffee Eclair,Marzipan Cookie,Chocolate Coffee,Cherry Soda,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Almond Croissant,Apricot Croissant,Single Espresso,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Strawberry Cake,,,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Strawberry Cake,Apricot Croissant,Vanilla Frappuccino,,,,,
Chocolate Cake,Chocolate Croissant,,,,,,
Vanilla Eclair,Almond Tart,Apple Pie,Almond Twist,Almond Bear Claw,Orange Juice,Chocolate Coffee,
Strawberry Cake,Napoleon Cake,Chocolate Tart,,,,,
Berry Tart,Bottled Water,,,,,,
Apricot Tart,,,,,,,
Chocolate Cake,Apricot Tart,Chocolate Coffee,,,,,
Lemon Cake,Cherry Tart,Chocolate Meringue,Vanilla Meringue,Cheese Croissant,,,
Opera Cake,Cherry Tart,Lemon Tart,Marzipan Cookie,Tuile Cookie,Blueberry Danish,Chocolate Coffee,
Truffle Cake,Apple Pie,Blueberry Tart,Tuile Cookie,Almond Bear Claw,Single Espresso,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Casino Cake,Berry Tart,Bottled Water,,,,,
Lemon Cake,Casino Cake,Chocolate Meringue,Apple Croissant,Cheese Croissant,Chocolate Croissant,,
Hot Coffee,,,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Apple Tart,Marzipan Cookie,Tuile Cookie,,,,,
Opera Cake,Cherry Tart,Vanilla Meringue,Apricot Danish,,,,
Lemon Cake,Opera Cake,Blueberry Tart,Cherry Soda,,,,
Almond Croissant,Apple Danish,Lemon Lemonade,,,,,
Truffle Cake,Coffee Eclair,Lemon Tart,Gongolais Cookie,,,,
Lemon Tart,Apricot Croissant,Chocolate Croissant,Green Tea,,,,
Truffle Cake,Gongolais Cookie,Raspberry Lemonade,Vanilla Frappuccino,,,,
Chocolate Cake,Coffee Eclair,Blackberry Tart,Single Espresso,,,,
Truffle Cake,,,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Strawberry Cake,Napoleon Cake,Apple Tart,Almond Croissant,Apple Danish,,,
Truffle Cake,Vanilla Eclair,Gongolais Cookie,Apple Danish,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Opera Cake,Cherry Tart,Marzipan Cookie,Apricot Danish,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Blackberry Tart,Marzipan Cookie,Tuile Cookie,,,,,
Lemon Cookie,Apple Danish,Almond Bear Claw,Orange Juice,,,,
Coffee Eclair,Apple Pie,Vanilla Meringue,Almond Twist,Hot Coffee,,,
Opera Cake,Chocolate Eclair,Almond Croissant,,,,,
Lemon Cake,Lemon Tart,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Opera Cake,Blackberry Tart,Tuile Cookie,Almond Croissant,Apricot Croissant,,,
Casino Cake,Napoleon Cake,Chocolate Tart,Pecan Tart,,,,
Napoleon Cake,,,,,,,
Chocolate Eclair,Chocolate Tart,Vanilla Frappuccino,Cherry Soda,,,,
Strawberry Cake,Blueberry Tart,Apricot Croissant,Hot Coffee,,,,
Opera Cake,Apple Tart,,,,,,
Cheese Croissant,Orange Juice,,,,,,
Coffee Eclair,Gongolais Cookie,Cheese Croissant,Almond Bear Claw,Raspberry Lemonade,Green Tea,,
Berry Tart,Bottled Water,,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Pecan Tart,Almond Croissant,Apple Croissant,Cheese Croissant,Almond Twist,,,
Apricot Tart,Chocolate Tart,Raspberry Lemonade,Single Espresso,,,,
Lemon Cake,Truffle Cake,Chocolate Eclair,Walnut Cookie,Chocolate Croissant,Almond Twist,,
Almond Tart,Berry Tart,Apple Danish,Almond Twist,Bottled Water,,,
Opera Cake,Truffle Cake,Chocolate Meringue,,,,,
Chocolate Cake,Chocolate Coffee,,,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Truffle Cake,Gongolais Cookie,Tuile Cookie,Cheese Croissant,Apricot Danish,Blueberry Danish,,
Ganache Cookie,Vanilla Meringue,Almond Bear Claw,Hot Coffee,Cherry Soda,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Strawberry Cake,Napoleon Cake,Cheese Croissant,Almond Bear Claw,Green Tea,,,
Chocolate Tart,Raspberry Cookie,Vanilla Meringue,,,,,
Cherry Tart,Lemon Tart,Raspberry Cookie,Lemon Cookie,Lemon Lemonade,,,
Strawberry Cake,Chocolate Eclair,Napoleon Cake,Raspberry Cookie,,,,
Truffle Cake,Lemon Tart,Apricot Danish,Blueberry Danish,Raspberry Lemonade,Green Tea,Vanilla Frappuccino,Single Espresso
Blackberry Tart,Cheese Croissant,Orange Juice,,,,,
Chocolate Cake,Almond Tart,Apricot Tart,Chocolate Meringue,Cheese Croissant,Blueberry Danish,Orange Juice,
Chocolate Cake,Blueberry Danish,,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Vanilla Eclair,Almond Croissant,Raspberry Lemonade,,,,,
Chocolate Tart,Cherry Tart,Apple Croissant,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Truffle Cake,Cherry Tart,Gongolais Cookie,Marzipan Cookie,Apple Croissant,,,
Walnut Cookie,Bottled Water,,,,,,
Blackberry Tart,Marzipan Cookie,,,,,,
Lemon Cake,Chocolate Tart,Orange Juice,Chocolate Coffee,Single Espresso,,,
Apricot Tart,Marzipan Cookie,Walnut Cookie,Almond Croissant,Apricot Croissant,Chocolate Croissant,Apricot Danish,
Lemon Cake,Blackberry Tart,Cherry Tart,Chocolate Croissant,Orange Juice,Single Espresso,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Vanilla Eclair,Lemon Lemonade,Bottled Water,Vanilla Frappuccino,Single Espresso,,,
Gongolais Cookie,Orange Juice,Chocolate Coffee,,,,,
Blackberry Tart,Almond Croissant,,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Raspberry Lemonade,,,,,,,
Chocolate Cake,Strawberry Cake,Napoleon Cake,Apricot Tart,Walnut Cookie,,,
Blueberry Tart,Apricot Croissant,Blueberry Danish,Hot Coffee,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Lemon Cake,Berry Tart,,,,,,
Lemon Cookie,Walnut Cookie,Single Espresso,,,,,
Lemon Cake,Lemon Tart,,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Almond Tart,Chocolate Tart,Tuile Cookie,Apple Danish,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Truffle Cake,Gongolais Cookie,,,,,,
Blueberry Tart,Apricot Croissant,Almond Twist,Cherry Soda,,,,
Lemon Cookie,Marzipan Cookie,Cheese Croissant,Orange Juice,Green Tea,,,
Cherry Tart,Apricot Croissant,Apricot Danish,,,,,
Lemon Cake,Almond Croissant,Apricot Croissant,Raspberry Lemonade,Green Tea,,,
Blueberry Tart,Chocolate Tart,Almond Croissant,Orange Juice,Green Tea,,,
Lemon Cake,Truffle Cake,Coffee Eclair,Lemon Tart,Marzipan Cookie,Cheese Croissant,Lemon Lemonade,Green Tea
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Ganache Cookie,Gongolais Cookie,Marzipan Cookie,Blueberry Danish,,,,
Almond Tart,,,,,,,
Truffle Cake,Gongolais Cookie,Walnut Cookie,Cherry Soda,,,,
Chocolate Cake,Tuile Cookie,Apricot Danish,Apple Danish,Orange Juice,,,
Coffee Eclair,Apple Pie,Blackberry Tart,Cheese Croissant,Chocolate Croissant,Almond Bear Claw,Chocolate Coffee,Single Espresso
Cheese Croissant,Orange Juice,,,,,,
Cheese Croissant,Orange Juice,,,,,,
Strawberry Cake,Napoleon Cake,Apricot Tart,,,,,
Truffle Cake,Pecan Tart,Almond Croissant,Single Espresso,,,,
Almond Tart,Apple Pie,Apricot Tart,Gongolais Cookie,Chocolate Meringue,Tuile Cookie,Hot Coffee,Cherry Soda
Opera Cake,Cherry Tart,Lemon Cookie,Chocolate Meringue,Apple Croissant,Apricot Danish,,
Chocolate Cake,Berry Tart,Chocolate Tart,Almond Twist,Vanilla Frappuccino,,,
Casino Cake,Green Tea,Bottled Water,Chocolate Coffee,,,,
Cherry Tart,Cheese Croissant,Orange Juice,,,,,
Chocolate Eclair,Coffee Eclair,Vanilla Eclair,Apple Pie,Apple Tart,Vanilla Meringue,Tuile Cookie,Blueberry Danish
Walnut Cookie,,,,,,,
Lemon Tart,,,,,,,
Truffle Cake,Apple Danish,Raspberry Lemonade,,,,,
Strawberry Cake,Ganache Cookie,,,,,,
Casino Cake,Strawberry Cake,Blackberry Tart,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Opera Cake,Coffee Eclair,Apple Pie,Cherry Tart,Chocolate Meringue,Almond Twist,Bottled Water,Cherry Soda
Blackberry Tart,Raspberry Lemonade,Bottled Water,Single Espresso,,,,
Opera Cake,Truffle Cake,Cheese Croissant,,,,,
Truffle Cake,Gongolais Cookie,Raspberry Cookie,,,,,
Lemon Tart,Walnut Cookie,,,,,,
Blackberry Tart,Pecan Tart,Walnut Cookie,Green Tea,Cherry Soda,,,
Lemon Cake,Opera Cake,Napoleon Cake,Cherry Tart,Almond Croissant,,,
Cheese Croissant,,,,,,,
Chocolate Tart,Ganache Cookie,Bottled Water,,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Apple Pie,Lemon Tart,Vanilla Meringue,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Chocolate Cake,Casino Cake,Gongolais Cookie,Chocolate Coffee,,,,
Blueberry Tart,Apricot Croissant,,,,,,
Apricot Tart,Gongolais Cookie,Raspberry Cookie,,,,,
Vanilla Eclair,Marzipan Cookie,Tuile Cookie,Raspberry Lemonade,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Berry Tart,Tuile Cookie,Orange Juice,,,,,
Vanilla Eclair,Apricot Tart,Cherry Tart,,,,,
Casino Cake,Berry Tart,Orange Juice,,,,,
Chocolate Cake,Berry Tart,,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Coffee Eclair,Blackberry Tart,,,,,,
Coffee Eclair,Blueberry Tart,Lemon Cookie,Vanilla Meringue,Apricot Croissant,Raspberry Lemonade,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Berry Tart,Bottled Water,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Lemon Cake,Lemon Tart,Lemon Cookie,,,,,
Napoleon Cake,Apple Pie,Berry Tart,Lemon Tart,Almond Croissant,Raspberry Lemonade,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Berry Tart,Apricot Croissant,Bottled Water,,,,,
Strawberry Cake,Napoleon Cake,Lemon Lemonade,,,,,
Almond Croissant,,,,,,,
Coffee Eclair,Raspberry Cookie,Lemon Cookie,Chocolate Meringue,Walnut Cookie,,,
Opera Cake,Apple Pie,Apple Tart,,,,,
Cherry Tart,Chocolate Croissant,,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Lemon Cake,Lemon Tart,,,,,,
Gongolais Cookie,Vanilla Frappuccino,,,,,,
Opera Cake,Cherry Tart,Lemon Cookie,Vanilla Meringue,Almond Croissant,Apricot Danish,,
Lemon Cake,Casino Cake,Apple Tart,Lemon Tart,Raspberry Lemonade,,,
Lemon Cake,Apricot Tart,Pecan Tart,Apple Croissant,,,,
Truffle Cake,Gongolais Cookie,Apple Danish,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Almond Tart,Apricot Tart,Apricot Danish,Cherry Soda,,,,
Chocolate Meringue,Hot Coffee,,,,,,
Chocolate Cake,Casino Cake,Opera Cake,Chocolate Meringue,Chocolate Coffee,,,
Lemon Cake,Lemon Tart,Bottled Water,Single Espresso,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Tuile Cookie,Walnut Cookie,,,,,,
Casino Cake,Strawberry Cake,Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Bottled Water,,,,,,,
Napoleon Cake,,,,,,,
Lemon Cake,Lemon Tart,,,,,,
Opera Cake,Almond Tart,Gongolais Cookie,Apricot Danish,Almond Bear Claw,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Truffle Cake,Gongolais Cookie,Vanilla Meringue,Green Tea,,,,
Strawberry Cake,Apple Croissant,Apricot Croissant,,,,,
Chocolate Cake,Strawberry Cake,Coffee Eclair,Tuile Cookie,,,,
Truffle Cake,Gongolais Cookie,Apple Danish,,,,,
Lemon Cake,Opera Cake,Strawberry Cake,Cherry Tart,Vanilla Meringue,Apricot Danish,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Opera Cake,Almond Tart,Cherry Tart,Apricot Danish,,,,
Lemon Cake,Lemon Tart,Chocolate Croissant,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Cake,Apricot Tart,Ganache Cookie,Apricot Danish,Hot Coffee,,,
Chocolate Tart,Green Tea,,,,,,
Lemon Cake,Lemon Tart,,,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Apple Danish,Hot Coffee,,,,,,
Opera Cake,Chocolate Eclair,Chocolate Coffee,,,,,
Cheese Croissant,Raspberry Lemonade,Orange Juice,,,,,
Berry Tart,Bottled Water,,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Coffee Eclair,Apple Pie,Vanilla Meringue,Almond Twist,Hot Coffee,,,
Chocolate Eclair,Blueberry Tart,Almond Twist,,,,,
Coffee Eclair,Apple Danish,Orange Juice,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Chocolate Cake,Apricot Tart,Raspberry Cookie,Chocolate Coffee,,,,
Opera Cake,Strawberry Cake,Almond Croissant,Chocolate Croissant,,,,
Marzipan Cookie,,,,,,,
Opera Cake,Strawberry Cake,Raspberry Cookie,Apricot Croissant,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Raspberry Cookie,Apple Danish,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Tuile Cookie,Cherry Soda,,,,,,
Chocolate Eclair,Berry Tart,Almond Bear Claw,Bottled Water,Vanilla Frappuccino,,,
Lemon Cookie,Tuile Cookie,Blueberry Danish,,,,,
Apple Pie,Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,,,
Raspberry Cookie,Lemon Cookie,Almond Twist,Lemon Lemonade,Raspberry Lemonade,Green Tea,,
Strawberry Cake,Ganache Cookie,Vanilla Meringue,Lemon Lemonade,Cherry Soda,,,
Chocolate Eclair,Blueberry Tart,Apricot Croissant,Chocolate Croissant,Orange Juice,,,
Opera Cake,Chocolate Tart,Tuile Cookie,,,,,
Vanilla Eclair,Almond Tart,Apple Danish,,,,,
Almond Twist,Green Tea,,,,,,
Vanilla Eclair,Blackberry Tart,Ganache Cookie,Cheese Croissant,Orange Juice,,,
Opera Cake,Vanilla Eclair,Cherry Tart,Almond Croissant,Apricot Danish,Single Espresso,,
Lemon Cake,Apple Tart,Lemon Tart,Raspberry Cookie,Cheese Croissant,Orange Juice,,
Strawberry Cake,Napoleon Cake,,,,,,
Almond Tart,Chocolate Meringue,Almond Croissant,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Cake,Apple Croissant,Almond Twist,,,,,
Gongolais Cookie,Raspberry Cookie,Lemon Lemonade,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Coffee Eclair,Blackberry Tart,Blueberry Danish,Single Espresso,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Cake,Strawberry Cake,Apple Tart,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Coffee Eclair,Apple Pie,Almond Twist,,,,,
Coffee Eclair,Lemon Tart,Ganache Cookie,Raspberry Lemonade,,,,
Lemon Cake,Apple Croissant,,,,,,
Strawberry Cake,Tuile Cookie,Apple Danish,Orange Juice,,,,
Napoleon Cake,Lemon Cookie,Apricot Croissant,Orange Juice,,,,
Ganache Cookie,Raspberry Cookie,Orange Juice,,,,,
Berry Tart,Blueberry Tart,Lemon Tart,Lemon Cookie,Chocolate Meringue,Bottled Water,,
Cheese Croissant,Orange Juice,,,,,,
Marzipan Cookie,Tuile Cookie,Blueberry Danish,Vanilla Frappuccino,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Opera Cake,Truffle Cake,Raspberry Lemonade,Orange Juice,,,,
Blackberry Tart,Gongolais Cookie,Chocolate Croissant,Cherry Soda,,,,
Apple Croissant,Single Espresso,,,,,,
Pecan Tart,Almond Croissant,,,,,,
Walnut Cookie,Cheese Croissant,Blueberry Danish,,,,,
Lemon Cake,Napoleon Cake,Almond Bear Claw,,,,,
Chocolate Cake,Casino Cake,Lemon Tart,Chocolate Coffee,,,,
Almond Tart,Berry Tart,Pecan Tart,,,,,
Lemon Tart,Raspberry Cookie,Chocolate Meringue,Hot Coffee,Single Espresso,,,
Cheese Croissant,Orange Juice,,,,,,
Vanilla Eclair,Apple Pie,Blackberry Tart,Apricot Croissant,Chocolate Coffee,,,
Casino Cake,Marzipan Cookie,Blueberry Danish,,,,,
Strawberry Cake,Almond Tart,Raspberry Cookie,,,,,
Casino Cake,Strawberry Cake,Vanilla Eclair,Chocolate Meringue,,,,
Truffle Cake,Gongolais Cookie,Apricot Danish,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Cherry Tart,,,,,,,
Chocolate Cake,Apple Tart,Chocolate Tart,Apple Croissant,Chocolate Croissant,Bottled Water,,
Casino Cake,Opera Cake,Cherry Tart,Apricot Danish,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Chocolate Cake,Strawberry Cake,Blackberry Tart,Blueberry Tart,Chocolate Meringue,Vanilla Meringue,Almond Twist,
Chocolate Cake,Chocolate Tart,Raspberry Cookie,Walnut Cookie,Chocolate Coffee,,,
Chocolate Meringue,Chocolate Coffee,,,,,,
Napoleon Cake,Apricot Tart,Apple Croissant,,,,,
Strawberry Cake,Napoleon Cake,Raspberry Cookie,Almond Croissant,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Opera Cake,Lemon Cookie,Orange Juice,Cherry Soda,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Berry Tart,Bottled Water,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Truffle Cake,Blueberry Tart,Apple Croissant,Apricot Croissant,,,,
Chocolate Cake,Casino Cake,Truffle Cake,Ganache Cookie,Chocolate Coffee,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Chocolate Cake,Chocolate Coffee,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Casino Cake,Napoleon Cake,Apricot Tart,Cherry Tart,Gongolais Cookie,Apple Danish,Hot Coffee,
Vanilla Meringue,Marzipan Cookie,Tuile Cookie,Almond Croissant,,,,
Chocolate Cake,Truffle Cake,Vanilla Eclair,Napoleon Cake,Apple Pie,Chocolate Meringue,,
Truffle Cake,Gongolais Cookie,Tuile Cookie,,,,,
Chocolate Tart,Lemon Tart,,,,,,
Vanilla Meringue,Lemon Lemonade,Vanilla Frappuccino,,,,,
Casino Cake,Chocolate Eclair,Napoleon Cake,Almond Bear Claw,Chocolate Coffee,,,
Chocolate Cake,Strawberry Cake,Marzipan Cookie,,,,,
Blueberry Tart,Marzipan Cookie,Tuile Cookie,Apple Danish,Blueberry Danish,,,
Coffee Eclair,Blackberry Tart,Pecan Tart,Chocolate Meringue,,,,
Apple Tart,Walnut Cookie,Apple Croissant,Apple Danish,Chocolate Coffee,Cherry Soda,,
Chocolate Tart,Walnut Cookie,Hot Coffee,Vanilla Frappuccino,,,,
Apple Tart,Chocolate Tart,Apple Croissant,Apple Danish,Cherry Soda,,,
Apple Pie,Cherry Soda,,,,,,
Apple Pie,Lemon Tart,Tuile Cookie,Apricot Croissant,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Raspberry Lemonade,Vanilla Frappuccino,Single Espresso,,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Berry Tart,Bottled Water,,,,,,
Cheese Croissant,Orange Juice,,,,,,
Chocolate Cake,Chocolate Coffee,,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Lemon Cake,Almond Bear Claw,,,,,,
Chocolate Cake,Blackberry Tart,Ganache Cookie,Tuile Cookie,Apricot Danish,Apple Danish,,
Berry Tart,Ganache Cookie,Walnut Cookie,Almond Croissant,Bottled Water,,,
Strawberry Cake,Napoleon Cake,,,,,,
Gongolais Cookie,Tuile Cookie,,,,,,
Chocolate Cake,Casino Cake,Vanilla Eclair,Cheese Croissant,Almond Twist,Lemon Lemonade,Chocolate Coffee,Single Espresso
Lemon Cake,Chocolate Tart,Green Tea,,,,,
Coffee Eclair,Gongolais Cookie,Almond Croissant,,,,,
Casino Cake,Strawberry Cake,Napoleon Cake,Apple Danish,Green Tea,Chocolate Coffee,,
Ganache Cookie,Chocolate Croissant,Apple Danish,Blueberry Danish,Hot Coffee,,,
Casino Cake,Opera Cake,Vanilla Eclair,Lemon Tart,Raspberry Cookie,Almond Twist,Green Tea,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
